,precision,recall,f1-score,support
க,0.9130434782608695,1.0,0.9545454545454546,21.0
ர,0.9333333333333333,1.0,0.9655172413793104,28.0
ற,0.0,0.0,0.0,0.0
ன,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
ஞ,1.0,1.0,1.0,5.0
ந,1.0,0.7272727272727273,0.8421052631578947,11.0
ஆ,0.8,1.0,0.8888888888888888,4.0
வ,1.0,1.0,1.0,10.0
ல,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
ண,0.75,1.0,0.8571428571428571,3.0
த,0.9230769230769231,0.96,0.9411764705882353,25.0
ப,1.0,1.0,1.0,11.0
ம,0.8333333333333334,1.0,0.9090909090909091,10.0
பி,1.0,0.9230769230769231,0.96,13.0
பூ,1.0,1.0,1.0,7.0
தி,0.8571428571428571,1.0,0.9230769230769231,6.0
ழ,0.8333333333333334,1.0,0.9090909090909091,5.0
து,1.0,0.8571428571428571,0.9230769230769231,7.0
ய,1.0,0.8333333333333334,0.9090909090909091,6.0
யு,1.0,1.0,1.0,2.0
னு,1.0,1.0,1.0,2.0
நி,1.0,1.0,1.0,1.0
னூ,1.0,1.0,1.0,4.0
எ,1.0,1.0,1.0,3.0
உ,1.0,1.0,1.0,2.0
ஓ,1.0,1.0,1.0,3.0
வூ,1.0,1.0,1.0,3.0
,1.0,1.0,1.0,2.0
ெ,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
கு,0.0,0.0,0.0,1.0
ஐ,0.0,0.0,0.0,0.0
ஒ,1.0,1.0,1.0,1.0
ரி,1.0,0.3333333333333333,0.5,3.0
யி,0.0,0.0,0.0,0.0
ளு,0.0,0.0,0.0,2.0
லி,0.0,0.0,0.0,0.0
ட,0.0,0.0,0.0,0.0
ரு,0.0,0.0,0.0,0.0
லு,0.0,0.0,0.0,0.0
ள,0.0,0.0,0.0,0.0
னி,1.0,1.0,1.0,1.0
ஜி,0.0,0.0,0.0,0.0
accuracy,0.9377593360995851,0.9377593360995851,0.9377593360995851,0.9377593360995851
macro avg,0.7034677193062286,0.6984890506319078,0.6948853262264326,241.0
weighted avg,0.9314399443841984,0.9377593360995851,0.9297526978481792,241.0
